INSTITUTE NAME 										SEQUENCED GENOME COUNT	DATE OF LAST UPDATE (dd/mm/yyyy)	
CSIR-Centre for Cellular and Molecular Biology (CCMB)					115			22/04/2021	
DBT-Centre for DNA Fingerprinting and Diagnostics (CDFD), Hyderabad			59			22/04/2021	
DBT- National Institute of Biomedical Genomics (NIBMG)					1324			22/04/2021	
DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar					803			22/04/2021	
ICMR-National Institute of Virology (NIV)						0			22/04/2021	
DBT-National Centre for Cell Science, Pune						90			22/04/2021	
CSIR-Institute of Genomics and Integrative Biology (IGIB), Delhi			94			22/04/2021	
NCDC, Delhi - Division of Bio-technology, Epidemiology and Central Surveillance Unit	2728			22/04/2021	
DBT InSTEM/NCBS										273			22/04/2021	
NIMHANS, National Institute of Mental Health and Neuro Sciences Hospital (NIMHANS)	189			22/04/2021	
